"URL","histogramsData/Fr/0","histogramsData/Fr/1","histogramsData/Fr/10","histogramsData/Fr/11","histogramsData/Fr/12","histogramsData/Fr/13","histogramsData/Fr/14","histogramsData/Fr/15","histogramsData/Fr/16","histogramsData/Fr/17","histogramsData/Fr/18","histogramsData/Fr/2","histogramsData/Fr/3","histogramsData/Fr/4","histogramsData/Fr/5","histogramsData/Fr/6","histogramsData/Fr/7","histogramsData/Fr/8","histogramsData/Fr/9","histogramsData/Mo/0","histogramsData/Mo/1","histogramsData/Mo/10","histogramsData/Mo/11","histogramsData/Mo/12","histogramsData/Mo/13","histogramsData/Mo/14","histogramsData/Mo/15","histogramsData/Mo/16","histogramsData/Mo/17","histogramsData/Mo/18","histogramsData/Mo/19","histogramsData/Mo/2","histogramsData/Mo/3","histogramsData/Mo/4","histogramsData/Mo/5","histogramsData/Mo/6","histogramsData/Mo/7","histogramsData/Mo/8","histogramsData/Mo/9","histogramsData/Sa/0","histogramsData/Sa/1","histogramsData/Sa/10","histogramsData/Sa/11","histogramsData/Sa/12","histogramsData/Sa/13","histogramsData/Sa/14","histogramsData/Sa/15","histogramsData/Sa/16","histogramsData/Sa/17","histogramsData/Sa/2","histogramsData/Sa/3","histogramsData/Sa/4","histogramsData/Sa/5","histogramsData/Sa/6","histogramsData/Sa/7","histogramsData/Sa/8","histogramsData/Sa/9","histogramsData/Su/0","histogramsData/Su/1","histogramsData/Su/10","histogramsData/Su/11","histogramsData/Su/12","histogramsData/Su/13","histogramsData/Su/14","histogramsData/Su/15","histogramsData/Su/16","histogramsData/Su/17","histogramsData/Su/2","histogramsData/Su/3","histogramsData/Su/4","histogramsData/Su/5","histogramsData/Su/6","histogramsData/Su/7","histogramsData/Su/8","histogramsData/Su/9","histogramsData/Th/0","histogramsData/Th/1","histogramsData/Th/10","histogramsData/Th/11","histogramsData/Th/12","histogramsData/Th/13","histogramsData/Th/14","histogramsData/Th/15","histogramsData/Th/16","histogramsData/Th/17","histogramsData/Th/18","histogramsData/Th/19","histogramsData/Th/2","histogramsData/Th/3","histogramsData/Th/4","histogramsData/Th/5","histogramsData/Th/6","histogramsData/Th/7","histogramsData/Th/8","histogramsData/Th/9","histogramsData/Tu/0","histogramsData/Tu/1","histogramsData/Tu/10","histogramsData/Tu/11","histogramsData/Tu/12","histogramsData/Tu/13","histogramsData/Tu/14","histogramsData/Tu/15","histogramsData/Tu/16","histogramsData/Tu/17","histogramsData/Tu/18","histogramsData/Tu/19","histogramsData/Tu/2","histogramsData/Tu/3","histogramsData/Tu/4","histogramsData/Tu/5","histogramsData/Tu/6","histogramsData/Tu/7","histogramsData/Tu/8","histogramsData/Tu/9","histogramsData/We/0","histogramsData/We/1","histogramsData/We/10","histogramsData/We/11","histogramsData/We/12","histogramsData/We/13","histogramsData/We/14","histogramsData/We/15","histogramsData/We/16","histogramsData/We/17","histogramsData/We/18","histogramsData/We/19","histogramsData/We/2","histogramsData/We/3","histogramsData/We/4","histogramsData/We/5","histogramsData/We/6","histogramsData/We/7","histogramsData/We/8","histogramsData/We/9","placeName"
"https://www.google.ca/search?q=nysc+115th+and+5th&gws_rd=cr&ei=rqP-V7mbG-PYjwSO9ZOoCg","0","9","23","27","33","38","38","34","26","18",,"14","20","25","29","29","26","23","22","0","6","20","28","43","59","69","68","54","35","19",,"10","14","17","22","27","29","26","22","0","12","33","27","17","0","0","0","0","0","25","38","46","47","41","35","33","34","0","2","32","38","23","0","0","0","0","0","7","17","31","44","49","42","29","23","0","5","27","35","45","53","55","47","36","37","33",,"9","15","22","27","30","29","26","25","0","8","17","25","41","63","75","71","56","41","29",,"11","14","17","20","21","20","18","17","0","9","26","39","54","66","71","66","56","42","26",,"15","21","26","28","26","22","18","19","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+125th+street+harlem&gws_rd=cr&ei=tqP-V4KaOYfUjwSs9K_QDA","0","6","32","29","30","35","39","35","25","14",,"18","26","23","18","22","29","35","35","0","8","31","32","37","50","65","68","55","33","15",,"20","24","15","14","19","25","29","32","0","14","29","33","37","30","16","0","0","0","26","39","46","47","47","47","41","33","0","6","29","26","16","0","0","0","0","0","11","18","26","29","29","26","25","27","0","8","25","32","47","60","65","59","42","25","12",,"14","14","14","17","23","26","25","23","0","15","29","31","39","53","69","75","63","41","20",,"26","29","21","12","12","16","22","26","0","9","27","27","32","45","63","69","57","34","15",,"23","33","26","15","12","17","22","26","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+145th+frederick+douglass+blvd.&gws_rd=cr&ei=vqP-V7ChCuP4jwT367LwDg","0","11","25","25","27","32","35","35","29","21",,"21","29","29","27","27","29","29","27","0","5","24","23","27","40","55","61","53","36","20",,"11","20","28","32","32","30","29","27","0","5","32","29","28","34","23","0","0","0","14","26","40","48","47","38","32","32","0","8","26","29","19","0","0","0","0","0","16","26","36","41","38","29","20","19","0","13","18","16","24","43","62","70","60","39","20",,"20","24","26","26","29","32","32","26","0","10","26","26","32","49","67","75","65","43","22",,"16","22","29","35","38","38","36","32","0","12","37","30","26","34","54","71","66","43","19",,"25","32","27","24","30","38","44","43","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+14th+5th&gws_rd=cr&ei=xaP-V5_eBIXujwSAsom4Dg","0","2","35","27","26","33","41","39","29","17",,"4","9","14","16","15","16","24","35","0","3","17","24","37","56","70","65","42","20","7",,"5","6","9","11","13","14","14","15","0","0","30","28","29","25","13","0","0","0","5","13","27","38","38","31","28","31","0","0","20","22","21","17","11","0","0","0","5","11","18","26","29","27","22","19","0","2","21","22","32","54","74","68","41","16","4",,"4","6","9","13","17","20","22","22","0","4","21","14","28","55","75","70","44","19","5",,"8","11","12","9","6","9","24","33","0","1","23","24","32","48","64","66","49","27","10",,"3","6","10","15","20","23","24","24","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+128+8th+Avenue&gws_rd=cr&ei=y6P-V8aLM5-9jwSIyYygCw","0","7","27","33","38","38","33","26","18","0",,"13","19","21","18","14","11","14","19","0","19","31","46","58","60","51","36","21","11",,,"23","19","11","4","7","14","12","17","0","0","22","22","23","23","20","0","0","0","13","26","38","48","52","47","37","26","0","0","24","28","29","26","18","0","0","0","7","14","23","32","35","32","26","23","0","8","26","34","42","46","44","37","27","17",,,"14","17","17","15","20","27","28","26","0","11","22","34","47","53","51","39","26","13",,,"15","17","19","23","28","26","18","16","0","9","17","35","57","75","72","55","31","13",,,"13","18","20","18","21","36","31","12","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+217+broadway&gws_rd=cr&ei=06P-V93eMYi0jwTE8ongDg","0","8","23","23","32","44","39","21","6","0",,"17","26","30","26","23","24","28","28","0","7","24","14","21","42","63","65","47","23",,,"21","36","38","26","22","35","49","44","0","0","16","11","0","0","0","0","0","0","10","20","31","38","36","27","16","14","0","0","0","0","0","0","0","0","0","0","5","11","21","30","35","32","23","0","0","5","30","24","38","62","75","60","31","11",,,"23","52","50","26","19","31","41","40","0","15","26","23","35","57","73","67","44","22",,,"35","53","53","41","32","36","41","35","0","4","42","42","48","59","63","56","40","24",,,"21","52","69","50","30","30","39","42","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+270+8th+Ave&gws_rd=cr&ei=2qP-V9DCDKWkjwTkkavgDw","0","1","8","8","15","27","38","41","33","20",,"6","14","15","14","14","16","15","11","0","2","16","14","18","39","65","63","50","39","18",,"5","8","11","14","18","20","20","18","0","0","25","31","29","19","8","0","0","0","2","8","17","26","32","31","25","22","0","0","20","17","16","19","17","0","0","0","3","8","14","19","20","18","17","20","0","1","14","16","23","35","46","48","41","27","14",,"11","26","17","12","15","17","18","16","0","5","14","13","21","41","64","75","65","41","18",,"16","19","12","12","17","20","20","17","0","3","16","17","26","41","52","51","36","18","6",,"5","9","13","17","20","21","21","18","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+113+e+23rd&gws_rd=cr&ei=4aP-V4vaG4qsjwT2sb3gBQ","0","8","22","20","21","27","32","32","27","19",,"19","24","21","17","20","26","29","28","0","14","26","26","29","39","48","50","43","32","22",,"16","20","23","28","32","33","32","29","0","0","29","20","11","20","26","0","0","0","7","21","42","58","53","38","30","32","0","0","21","26","32","32","23","0","0","0","7","15","24","29","28","23","22","20","0","4","17","19","35","59","75","71","49","26","10",,"17","34","34","20","16","26","33","27","0","14","20","17","32","54","70","66","47","24","10",,"23","33","36","32","26","30","41","36","0","9","29","22","28","45","64","71","60","39","20",,"16","23","26","24","26","33","39","38","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+34th+park&gws_rd=cr&ei=6KP-V7inLaakjwS104iQBg","0","11","25","29","35","35","30","20","12","0",,"17","24","31","35","38","35","31","26","0","11","32","42","59","70","65","47","26","11",,,"19","27","35","41","43","41","35","30","0","0","18","12","0","0","0","0","0","0","24","38","47","47","35","23","20","21","0","0","42","48","0","0","0","0","0","0","5","16","34","45","35","20","13","24","0","18","36","41","53","63","64","56","42","27",,,"28","30","24","25","46","71","72","50","0","17","32","43","62","75","68","46","23","8",,,"26","32","32","32","33","38","39","34","0","27","35","35","47","62","67","55","33","15",,,"45","45","36","34","42","48","48","42","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+36th+madison&gws_rd=cr&ei=76P-V5z9EIvejwSU_JHwCw","0","10","49","51","52","51","44","33","21","0",,"16","23","30","38","44","47","48","48","0","11","41","47","59","68","68","58","43","26",,,"14","20","23","26","29","43","57","50","0","0","27","35","33","20","0","0","0","0","8","17","32","46","53","49","38","27","0","0","32","33","30","23","0","0","0","0","5","13","27","39","40","32","26","27","0","11","45","46","53","65","72","65","47","27",,,"14","20","27","35","43","48","50","48","0","14","32","32","50","68","75","66","48","27",,,"21","26","29","27","24","30","57","59","0","13","42","47","56","66","72","66","51","32",,,"18","25","31","37","41","44","44","42","New York Sports Clubs - NYSC"
"https://www.google.ca/search?q=nysc+38th+broadway&gws_rd=cr&ei=9aP-V637NozojwTarKjYCA","0","8","28","35","44","41","31","15","0","0",,"40","54","26","15","23","28","28","26","0","10","40","40","49","66","75","62","36","0",,,"26","40","36","28","26","33","40","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","7","35","44","57","66","59","38","19","0",,,"40","47","23","24","31","35","36","35","0","7","50","50","54","59","57","47","31","0",,,"26","44","36","28","33","44","50","52","0","8","48","50","57","66","64","50","29","0",,,"46","51","18","15","25","38","45","48","New York Sports Clubs"
