"URL","histogramsData/Fr/0","histogramsData/Fr/1","histogramsData/Fr/10","histogramsData/Fr/11","histogramsData/Fr/12","histogramsData/Fr/13","histogramsData/Fr/14","histogramsData/Fr/15","histogramsData/Fr/16","histogramsData/Fr/17","histogramsData/Fr/18","histogramsData/Fr/2","histogramsData/Fr/3","histogramsData/Fr/4","histogramsData/Fr/5","histogramsData/Fr/6","histogramsData/Fr/7","histogramsData/Fr/8","histogramsData/Fr/9","histogramsData/Mo/0","histogramsData/Mo/1","histogramsData/Mo/10","histogramsData/Mo/11","histogramsData/Mo/12","histogramsData/Mo/13","histogramsData/Mo/14","histogramsData/Mo/15","histogramsData/Mo/16","histogramsData/Mo/17","histogramsData/Mo/18","histogramsData/Mo/19","histogramsData/Mo/2","histogramsData/Mo/3","histogramsData/Mo/4","histogramsData/Mo/5","histogramsData/Mo/6","histogramsData/Mo/7","histogramsData/Mo/8","histogramsData/Mo/9","histogramsData/Sa/0","histogramsData/Sa/1","histogramsData/Sa/10","histogramsData/Sa/11","histogramsData/Sa/12","histogramsData/Sa/13","histogramsData/Sa/14","histogramsData/Sa/15","histogramsData/Sa/16","histogramsData/Sa/17","histogramsData/Sa/2","histogramsData/Sa/3","histogramsData/Sa/4","histogramsData/Sa/5","histogramsData/Sa/6","histogramsData/Sa/7","histogramsData/Sa/8","histogramsData/Sa/9","histogramsData/Su/0","histogramsData/Su/1","histogramsData/Su/10","histogramsData/Su/11","histogramsData/Su/12","histogramsData/Su/13","histogramsData/Su/14","histogramsData/Su/15","histogramsData/Su/16","histogramsData/Su/17","histogramsData/Su/2","histogramsData/Su/3","histogramsData/Su/4","histogramsData/Su/5","histogramsData/Su/6","histogramsData/Su/7","histogramsData/Su/8","histogramsData/Su/9","histogramsData/Th/0","histogramsData/Th/1","histogramsData/Th/10","histogramsData/Th/11","histogramsData/Th/12","histogramsData/Th/13","histogramsData/Th/14","histogramsData/Th/15","histogramsData/Th/16","histogramsData/Th/17","histogramsData/Th/18","histogramsData/Th/19","histogramsData/Th/2","histogramsData/Th/3","histogramsData/Th/4","histogramsData/Th/5","histogramsData/Th/6","histogramsData/Th/7","histogramsData/Th/8","histogramsData/Th/9","histogramsData/Tu/0","histogramsData/Tu/1","histogramsData/Tu/10","histogramsData/Tu/11","histogramsData/Tu/12","histogramsData/Tu/13","histogramsData/Tu/14","histogramsData/Tu/15","histogramsData/Tu/16","histogramsData/Tu/17","histogramsData/Tu/18","histogramsData/Tu/19","histogramsData/Tu/2","histogramsData/Tu/3","histogramsData/Tu/4","histogramsData/Tu/5","histogramsData/Tu/6","histogramsData/Tu/7","histogramsData/Tu/8","histogramsData/Tu/9","histogramsData/We/0","histogramsData/We/1","histogramsData/We/10","histogramsData/We/11","histogramsData/We/12","histogramsData/We/13","histogramsData/We/14","histogramsData/We/15","histogramsData/We/16","histogramsData/We/17","histogramsData/We/18","histogramsData/We/19","histogramsData/We/2","histogramsData/We/3","histogramsData/We/4","histogramsData/We/5","histogramsData/We/6","histogramsData/We/7","histogramsData/We/8","histogramsData/We/9","placeName"
"https://www.google.com/search?q=nysc+115th+and+5th","0","5","23","26","35","44","47","42","31","19",,"12","23","27","26","26","28","26","23","0","6","17","24","38","55","70","75","66","50","31",,"10","15","20","23","24","23","19","17","0","6","29","25","19","0","0","0","0","0","15","29","41","47","42","35","31","29","0","8","26","29","20","0","0","0","0","0","15","26","35","40","35","26","18","19","0","7","21","24","30","40","51","54","48","34","20",,"15","24","27","24","21","18","19","21","0","8","20","27","39","52","60","60","50","35","21",,"16","23","24","22","20","19","18","18","0","11","23","34","48","60","66","63","53","38","25",,"17","25","31","32","27","21","17","17","New York Sports Clubs"
"https://www.google.com/search?q=nysc+125th+street+harlem","0","10","26","24","26","34","41","42","33","20",,"17","20","17","17","21","25","27","27","0","7","22","23","31","48","68","75","59","34","14",,"16","14","9","10","14","17","20","22","0","10","32","33","32","26","15","0","0","0","26","41","44","41","40","42","41","35","0","5","28","31","17","0","0","0","0","0","11","20","27","29","28","24","22","22","0","6","21","29","40","50","52","47","34","21","10",,"10","11","11","14","18","21","21","20","0","12","23","21","26","41","60","68","56","32","14",,"21","24","20","15","16","20","24","26","0","12","21","22","29","42","56","58","47","29","13",,"23","26","20","13","11","14","19","21","New York Sports Clubs"
"https://www.google.com/search?q=nysc+145th+frederick+douglass+blvd.","0","8","27","27","33","42","47","44","33","20",,"17","28","36","39","39","39","36","31","0","8","23","28","42","62","75","72","55","32","15",,"14","21","29","36","39","38","32","26","0","11","25","23","25","28","21","0","0","0","23","36","47","50","45","38","32","28","0","8","31","35","23","0","0","0","0","0","15","27","38","43","39","30","20","20","0","9","21","23","32","48","63","66","56","38","20",,"15","22","29","34","36","35","30","24","0","15","31","32","39","54","69","74","63","43","23",,"20","27","32","38","40","40","38","34","0","9","38","31","32","45","62","70","60","38","18",,"23","35","38","33","31","36","42","43","New York Sports Clubs"
"https://www.google.com/search?q=nysc+14th+5th","0","0","37","29","31","44","53","46","28","11",,"2","6","14","20","20","19","25","37","0","2","20","26","39","53","62","59","45","27","14",,"4","6","9","12","15","17","17","17","0","0","32","35","32","23","13","0","0","0","2","8","19","34","44","43","35","29","0","0","21","20","19","16","13","0","0","0","4","10","20","29","32","28","23","21","0","3","27","18","27","54","75","66","38","14","3",,"6","7","8","6","6","12","26","34","0","2","24","19","32","58","73","63","38","16","4",,"6","11","14","12","8","9","22","32","0","0","33","32","39","55","66","62","44","23","9",,"3","11","17","14","11","17","27","34","New York Sports Clubs"
"https://www.google.com/search?q=nysc+128+8th+Avenue","0","13","27","30","38","48","53","44","27","0",,"28","33","23","14","14","17","20","24","0","15","27","42","56","64","59","47","29","16",,,"19","22","21","18","14","11","11","16","0","0","29","29","27","24","19","0","0","0","11","27","47","58","53","39","30","28","0","0","26","27","28","26","21","0","0","0","6","14","25","35","41","38","31","26","0","16","29","36","45","51","49","41","29","18",,,"24","24","18","15","20","26","29","27","0","16","28","41","54","62","59","47","30","16",,,"21","25","25","25","28","33","31","26","0","19","25","44","64","75","71","53","33","16",,,"25","28","26","24","26","27","22","18","New York Sports Clubs"
"https://www.google.com/search?q=nysc+217+broadway","0","3","31","28","35","49","47","31","13","0",,"11","25","35","32","23","20","29","34","0","5","29","23","30","50","68","70","50","26",,,"15","29","36","31","25","28","34","34","0","0","17","13","0","0","0","0","0","0","4","10","20","30","35","33","24","17","0","0","0","0","0","0","0","0","0","0","5","11","20","29","32","28","20","0","0","8","32","25","32","48","60","54","34","14",,,"30","56","56","33","20","27","36","39","0","14","23","23","35","56","75","73","53","29",,,"38","58","58","41","28","26","29","27","0","10","44","34","36","50","61","59","46","28",,,"29","50","55","40","27","32","47","52","New York Sports Clubs"
"https://www.google.com/search?q=nysc+270+8th+Ave","0","3","14","14","20","33","47","53","44","27",,"7","11","16","19","19","18","17","15","0","3","15","17","27","46","67","75","62","38","17",,"5","8","12","16","19","20","20","17","0","0","16","17","24","26","16","0","0","0","4","12","23","27","26","26","26","21","0","0","16","23","28","23","13","0","0","0","6","11","18","23","24","22","17","14","0","5","13","17","26","36","43","44","37","27","15",,"12","18","18","15","12","12","12","12","0","3","19","23","34","47","59","61","53","37","20",,"10","20","20","16","14","16","17","18","0","2","22","20","26","41","56","59","44","24","10",,"8","15","20","17","11","10","15","21","New York Sports Clubs"
"https://www.google.com/search?q=nysc+113+e+23rd","0","7","18","19","29","44","53","52","38","22",,"23","34","28","22","26","30","29","23","0","18","25","23","26","38","56","62","53","34","21",,"21","25","29","31","33","33","31","29","0","0","26","23","20","26","25","0","0","0","8","23","44","61","59","44","30","26","0","0","26","35","35","26","13","0","0","0","6","14","26","33","32","23","15","17","0","9","12","17","33","55","72","72","52","29","12",,"16","24","32","36","36","30","24","16","0","23","24","20","26","46","70","72","49","22","6",,"35","41","40","34","30","31","32","29","0","14","29","29","37","56","72","75","60","37","17",,"24","30","29","23","20","24","30","33","New York Sports Clubs"
"https://www.google.com/search?q=nysc+34th+park","0","11","31","29","32","32","28","22","14","0",,"23","30","31","26","26","38","47","41","0","11","30","44","64","75","63","38","16","4",,,"22","29","32","29","31","33","33","29","0","0","18","12","0","0","0","0","0","0","16","32","44","43","35","29","26","23","0","0","37","53","0","0","0","0","0","0","5","17","34","43","36","20","8","13","0","15","29","39","53","66","70","63","48","31",,,"24","29","31","35","43","47","40","30","0","8","26","33","44","50","50","41","27","15",,,"17","28","40","47","49","43","34","26","0","17","31","36","51","65","63","45","23","8",,,"34","40","32","28","35","43","44","37","New York Sports Clubs"
"https://www.google.com/search?q=nysc+36th+madison","0","9","40","39","46","50","46","35","22","0",,"14","20","24","26","29","37","46","47","0","9","35","38","50","60","64","57","44","28",,,"16","23","26","28","26","29","38","40","0","0","18","24","28","18","0","0","0","0","8","15","28","42","50","48","37","23","0","0","32","33","28","17","0","0","0","0","8","17","26","32","30","23","21","24","0","10","38","37","37","45","59","58","38","18",,,"14","18","23","27","31","35","37","39","0","11","36","38","52","70","75","63","41","22",,,"17","22","23","23","21","24","33","39","0","11","32","33","42","58","71","68","50","26",,,"17","21","26","31","35","36","36","35","New York Sports Clubs - NYSC"
